"StatenIsland","Bronx","Brooklyn","Manhattan","Queens","pape_metric","pape_metric_sd"
"plan","cons","combo","combo","plan",0.000250284454197179,0.00276266728499161
"cons","cons","combo","combo","plan",-0.000353688237304626,0.00275451822651454
"combo","cons","combo","combo","plan",-0.00119584275104354,0.00269537263783001
"plan","combo","combo","combo","plan",0.000227017351877701,0.00223551896917791
"cons","combo","combo","combo","plan",-0.000376955339624077,0.00227694216732161
"combo","combo","combo","combo","plan",-0.00121910985336301,0.00205015369953239
"plan","plan","plan","plan","cons",0.0031236108015976,0.00167816077020335
"cons","plan","plan","plan","cons",0.00251963811009581,0.00183455243876281
"combo","plan","plan","plan","cons",0.00167748359635686,0.00199616865131524
"plan","cons","plan","plan","cons",0.000733697589908637,0.00207145464157904
"cons","cons","plan","plan","cons",0.000129724898406776,0.0020865390287397
"combo","cons","plan","plan","cons",-0.000712429615332134,0.00228136629928476
"plan","combo","plan","plan","cons",0.000710430487589186,0.00259497443731852
"cons","combo","plan","plan","cons",0.000106457796087367,0.0026511306183978
"combo","combo","plan","plan","cons",-0.000735696717651571,0.0026870954934058
"plan","plan","cons","plan","cons",0.000441176522701341,0.0020871738941875
"cons","plan","cons","plan","cons",-0.000162796168800464,0.00207677393956117
"combo","plan","cons","plan","cons",-0.0010049506825394,0.00228367766664227
"plan","cons","cons","plan","cons",-0.00194873668898768,0.0018618259759927
"cons","cons","cons","plan","cons",-0.00255270938048947,0.00171360812403458
"combo","cons","cons","plan","cons",-0.00339486389422843,0.00201755469094959
"plan","combo","cons","plan","cons",-0.0019720037913071,0.00265349242879427
"cons","combo","cons","plan","cons",-0.0025759764828089,0.00259672088347589
"combo","combo","cons","plan","cons",-0.00341813099654783,0.00268664010182093
"plan","plan","combo","plan","cons",0.00446784884211945,0.00271482557751214
"cons","plan","combo","plan","cons",0.00386387615061766,0.00275863373845349
"combo","plan","combo","plan","cons",0.0030217216368787,0.00276911510480883
"plan","cons","combo","plan","cons",0.00207793563043046,0.00275899204840964
"cons","cons","combo","plan","cons",0.00147396293892862,0.00271388669922326
"combo","cons","combo","plan","cons",0.000631808425189714,0.00276676703321812
"plan","combo","combo","plan","cons",0.00205466852811101,0.00275455588537872
"cons","combo","combo","plan","cons",0.00145069583660922,0.00275183619749486
"combo","combo","combo","plan","cons",0.000608541322870271,0.00268391930198018
"plan","plan","plan","cons","cons",0.0056084479231875,0.0020568687449083
"cons","plan","plan","cons","cons",0.00500447523168567,0.00208363730866827
"combo","plan","plan","cons","cons",0.00416232071794676,0.00227633617413863
"plan","cons","plan","cons","cons",0.00321853471149849,0.00198548804258313
"cons","cons","plan","cons","cons",0.00261456201999665,0.00188848083759087
"combo","cons","plan","cons","cons",0.00177240750625772,0.00215369502406927
"plan","combo","plan","cons","cons",0.00319526760917906,0.00269776123460858
"cons","combo","plan","cons","cons",0.0025912949176772,0.00267095361711865
"combo","combo","plan","cons","cons",0.00174914040393831,0.00274718713766814
"plan","plan","cons","cons","cons",0.00292601364429121,0.00190376866647802
"cons","plan","cons","cons","cons",0.0023220409527894,0.00177271164809698
"combo","plan","cons","cons","cons",0.00147988643905045,0.00206537056870519
