"StatenIsland","Bronx","Brooklyn","Manhattan","Queens","pape_metric","pape_metric_sd"
"cons","combo","cons","combo","cons",-0.00121609723537727,0.00256226752055972
"combo","combo","cons","combo","cons",-0.00206099024095377,0.00257721842876772
"control","combo","cons","combo","cons",0.00321393215463919,0.00260496034205298
"plan","control","cons","combo","cons",-0.0014954313631178,0.00251811244737618
"cons","control","cons","combo","cons",-0.00209666685881532,0.00241357809169485
"combo","control","cons","combo","cons",-0.00294155986439184,0.00251581342440606
"control","control","cons","combo","cons",0.00233336253120115,0.00243863585987076
"plan","plan","combo","combo","cons",0.0058108098924242,0.00278045978110456
"cons","plan","combo","combo","cons",0.0052095743967267,0.0027844695026211
"combo","plan","combo","combo","cons",0.00436468139115017,0.00272267755424796
"control","plan","combo","combo","cons",0.00963960378674313,0.00277322680151181
"plan","cons","combo","combo","cons",0.00343244018480132,0.00266500538211513
"cons","cons","combo","combo","cons",0.00283120468910377,0.00257641790278736
"combo","cons","combo","combo","cons",0.0019863116835273,0.00255529104062863
"control","cons","combo","combo","cons",0.00726123407912026,0.00260908530533877
"plan","combo","combo","combo","cons",0.00339762204274434,0.00230703848725877
"cons","combo","combo","combo","cons",0.00279638654704685,0.00225609896589864
"combo","combo","combo","combo","cons",0.00195149354147031,0.00207907844927984
"control","combo","combo","combo","cons",0.00722641593706328,0.00224220851517545
"plan","control","combo","combo","cons",0.00251705241930633,0.00265518322064931
"cons","control","combo","combo","cons",0.00191581692360883,0.00261104459890161
"combo","control","combo","combo","cons",0.0010709239180323,0.00254504549091602
"control","control","combo","combo","cons",0.00634584631362528,0.00257993265311992
"plan","plan","control","combo","cons",0.00170995682767252,0.0026522121706046
"cons","plan","control","combo","cons",0.00110872133197501,0.00265641548229756
"combo","plan","control","combo","cons",0.000263828326398467,0.00269766827855936
"control","plan","control","combo","cons",0.00553875072199148,0.00262137303473722
"plan","cons","control","combo","cons",-0.000668412879950366,0.0025309141609833
"cons","cons","control","combo","cons",-0.00126964837564791,0.00243745810494588
"combo","cons","control","combo","cons",-0.0021145413812244,0.00252862677733522
"control","cons","control","combo","cons",0.00316038101436861,0.00244706677987315
"plan","combo","control","combo","cons",-0.000703231022007305,0.00266329239494778
"cons","combo","control","combo","cons",-0.0013044665177048,0.00261929042742922
"combo","combo","control","combo","cons",-0.00214935952328133,0.00257961921041264
"control","combo","control","combo","cons",0.00312556287231167,0.00258374451443629
"plan","control","control","combo","cons",-0.00158380064544539,0.00242106866057221
"cons","control","control","combo","cons",-0.00218503614114288,0.00237257864388951
"combo","control","control","combo","cons",-0.00302992914671943,0.00241867739642885
"control","control","control","combo","cons",0.00224499324887359,0.00231196126907061
"plan","plan","plan","control","cons",-0.00630286966497979,0.00203637309390801
"cons","plan","plan","control","cons",-0.00690410516067727,0.00211629536869994
"combo","plan","plan","control","cons",-0.00774899816625381,0.002257833634594
"control","plan","plan","control","cons",-0.00247407577066083,0.00208009024943236
"plan","cons","plan","control","cons",-0.00868123937260266,0.00217969126817342
"cons","cons","plan","control","cons",-0.00928247486830021,0.00214389982064307
"combo","cons","plan","control","cons",-0.0101273678738767,0.00233394376839109
"control","cons","plan","control","cons",-0.00485244547828371,0.00216246531493368
"plan","combo","plan","control","cons",-0.00871605751465963,0.0026821674113986
"cons","combo","plan","control","cons",-0.00931729301035712,0.00269650790436551
"combo","combo","plan","control","cons",-0.0101621860159337,0.00273187545711387
"control","combo","plan","control","cons",-0.00488726362034068,0.00266818744403545
"plan","control","plan","control","cons",-0.00959662713809769,0.00208251828587205
"cons","control","plan","control","cons",-0.0101978626337952,0.0021009557983281
"combo","control","plan","control","cons",-0.0110427556393717,0.00224346203454652
"control","control","plan","control","cons",-0.00576783324377872,0.00204035946350538
"plan","plan","cons","control","cons",-0.00897112452153562,0.00215179850699034
"cons","plan","cons","control","cons",-0.00957236001723316,0.0020903261889513
"combo","plan","cons","control","cons",-0.0104172530228097,0.00229600898632735
"control","plan","cons","control","cons",-0.00514233062721669,0.00212146647147099
"plan","cons","cons","control","cons",-0.0113494942291585,0.00169407077788334
"cons","cons","cons","control","cons",-0.0119507297248561,0.0014568679653358
"combo","cons","cons","control","cons",-0.0127956227304326,0.00180458815152851
"control","cons","cons","control","cons",-0.00752070033483958,0.00157654721493417
"plan","combo","cons","control","cons",-0.0113843123712155,0.00253860235272593
"cons","combo","cons","control","cons",-0.011985547866913,0.00243494780485006
"combo","combo","cons","control","cons",-0.0128304408724895,0.00253062176201358
"control","combo","cons","control","cons",-0.00755551847689653,0.00246173256583733
"plan","control","cons","control","cons",-0.0122648819946535,0.00189403334012061
"cons","control","cons","control","cons",-0.0128661174903511,0.00175266402957525
"combo","control","cons","control","cons",-0.0137110104959276,0.00199349564575578
"control","control","cons","control","cons",-0.00843608810033456,0.00176180865292221
"plan","plan","combo","control","cons",-0.00495864073911152,0.00276481823388485
"cons","plan","combo","control","cons",-0.00555987623480903,0.00276885060686002
"combo","plan","combo","control","cons",-0.00640476924038555,0.00277929344327936
"control","plan","combo","control","cons",-0.00112984684479259,0.00274127762937501
"plan","cons","combo","control","cons",-0.00733701044673441,0.00264868211735284
"cons","cons","combo","control","cons",-0.00793824594243196,0.00255952973842566
"combo","cons","combo","control","cons",-0.00878313894800842,0.00261553269560274
"control","cons","combo","control","cons",-0.00350821655241546,0.00257510044060871
"plan","combo","combo","control","cons",-0.00737182858879138,0.00264406088456216
"cons","combo","combo","control","cons",-0.00797306408448887,0.00259973343316336
"combo","combo","combo","control","cons",-0.00881795709006541,0.00252773303281936
"control","combo","combo","control","cons",-0.00354303469447243,0.00257034691855206
"plan","control","combo","control","cons",-0.00825239821222944,0.00256930833985038
"cons","control","combo","control","cons",-0.00885363370792693,0.00252366822452168
"combo","control","combo","control","cons",-0.00969852671350345,0.00253512123343381
"control","control","combo","control","cons",-0.00442360431791046,0.00247344957119564
"plan","plan","control","control","cons",-0.00905949380386319,0.00204819597755023
"cons","plan","control","control","cons",-0.00966072929956069,0.00205363594123689
"combo","plan","control","control","cons",-0.0105056223051372,0.00219921058861198
"control","plan","control","control","cons",-0.00523069990954423,0.00198570562481037
"plan","cons","control","control","cons",-0.0114378635114861,0.00188849248206487
"cons","cons","control","control","cons",-0.0120390990071836,0.00176127209082416
"combo","cons","control","control","cons",-0.0128839920127601,0.00198823199123602
"control","cons","control","control","cons",-0.0076090696171671,0.00174916153236768
"plan","combo","control","control","cons",-0.011472681653543,0.0024514020178324
"cons","combo","control","control","cons",-0.0120739171492405,0.0024035240409175
"combo","combo","control","control","cons",-0.0129188101548171,0.00244313660079493
"control","combo","control","control","cons",-0.00764388775922407,0.00234574808206935
"plan","control","control","control","cons",-0.0123532512769811,0.00163111463781049
"cons","control","control","control","cons",-0.0129544867726786,0.00155823327005789
"combo","control","control","control","cons",-0.0137993797782551,0.00174562239841222
"control","control","control","control","cons",-0.00852445738266213,0.00143341525342926
"plan","plan","plan","plan","combo",0.00120098124941152,0.00205015361420453
"cons","plan","plan","plan","combo",0.000599745753713997,0.00222854414757905
"combo","plan","plan","plan","combo",-0.000245147251862565,0.00223551885563469
"control","plan","plan","plan","combo",0.00502977514373045,0.00216564203028879
"plan","cons","plan","plan","combo",-0.00117738845821134,0.00255593211261666
"cons","cons","plan","plan","combo",-0.00177862395390889,0.00260948842622296
"combo","cons","plan","plan","combo",-0.00262351695948545,0.00265940704329293
"control","cons","plan","plan","combo",0.00265140543610757,0.00260094341948671
"plan","combo","plan","plan","combo",-0.00121220660026832,0.00254604067657017
"cons","combo","plan","plan","combo",-0.00181344209596587,0.00264402050827363
"combo","combo","plan","plan","combo",-0.00265833510154239,0.00256804633628625
"control","combo","plan","plan","combo",0.00261658729405059,0.00259122381005888
"plan","control","plan","plan","combo",-0.00209277622370634,0.00237182943143489
"cons","control","plan","plan","combo",-0.00269401171940388,0.00247671075687945
"combo","control","plan","plan","combo",-0.00353890472498044,0.00248298846341093
"control","control","plan","plan","combo",0.00173601767061259,0.0023997238746305
"plan","plan","cons","plan","combo",-0.00146727360714434,0.00260488900579201
"cons","plan","cons","plan","combo",-0.00206850910284186,0.002637434730929
"combo","plan","cons","plan","combo",-0.00291340210841845,0.00269634651913605
"control","plan","cons","plan","combo",0.00236152028717457,0.00263870146108123
"plan","cons","cons","plan","combo",-0.00384564331476723,0.002598173626569
"cons","cons","cons","plan","combo",-0.00444687881046471,0.00253662829906684
"combo","cons","cons","plan","combo",-0.0052917718160413,0.00264207989245375
"control","cons","cons","plan","combo",-1.68494204482789e-05,0.00258322414969424
"plan","combo","cons","plan","combo",-0.0038804614568242,0.00279851719001577
"cons","combo","cons","plan","combo",-0.00448169695252168,0.00278344316194473
"combo","combo","cons","plan","combo",-0.00532658995809822,0.00276308892873098
"control","combo","cons","plan","combo",-5.16675625052473e-05,0.00278464347387212
"plan","control","cons","plan","combo",-0.00476103108026221,0.00264101309877187
"cons","control","cons","plan","combo",-0.00536226657595969,0.00262503477326448
"combo","control","cons","plan","combo",-0.00620715958153628,0.00268421872286784
"control","control","cons","plan","combo",-0.000932237185943243,0.00260738817923878
"plan","plan","combo","plan","combo",0.00254521017527975,0.00256886345531943
"cons","plan","combo","plan","combo",0.00194397467958221,0.0026557036232696
"combo","plan","combo","plan","combo",0.00109908167400569,0.00255396339003911
"control","plan","combo","plan","combo",0.00637400406959866,0.00260314389158414
"plan","cons","combo","plan","combo",0.000166840467656883,0.0027741263525565
"cons","cons","combo","plan","combo",-0.000434395028040623,0.00276818370216531
"combo","cons","combo","plan","combo",-0.00127928803361714,0.00271379599658514
"control","cons","combo","plan","combo",0.00399563436197583,0.00276013003927591
"plan","combo","combo","plan","combo",0.000132022325599936,0.00227549647036927
"cons","combo","combo","plan","combo",-0.000469213170097569,0.00231879895954421
"combo","combo","combo","plan","combo",-0.00131410617567407,0.00210230299403973
"control","combo","combo","plan","combo",0.00396081621991889,0.00225841205284329
"plan","control","combo","plan","combo",-0.000748547297838111,0.00260548707681772
"cons","control","combo","plan","combo",-0.00134978279353562,0.00264338936511147
"combo","control","combo","plan","combo",-0.00219467579911214,0.00254115615391838
"control","control","combo","plan","combo",0.00308024659648086,0.0025713976426865
"plan","plan","control","plan","combo",-0.00155564288947189,0.00239907931859582
"cons","plan","control","plan","combo",-0.00215687838516944,0.00249184346608807
"combo","plan","control","plan","combo",-0.003001771390746,0.00249808314426786
"control","plan","control","plan","combo",0.00227315100484706,0.00241048068571213
"plan","cons","control","plan","combo",-0.00393401259709476,0.00261768965784467
"cons","cons","control","plan","combo",-0.00453524809279227,0.00261139103425208
"combo","cons","control","plan","combo",-0.00538014109836883,0.00266127396355517
"control","cons","control","plan","combo",-0.000105218702775772,0.00257922020184641
"plan","combo","control","plan","combo",-0.00396883073915174,0.00260803245900656
"cons","combo","control","plan","combo",-0.00457006623484925,0.00264589828514857
"combo","combo","control","plan","combo",-0.00541495924042577,0.00256997962491803
"control","combo","control","plan","combo",-0.000140036844832754,0.00256941841903134
"plan","control","control","plan","combo",-0.00484940036258978,0.00233524897018001
"cons","control","control","plan","combo",-0.00545063585828729,0.00237746339211502
"combo","control","control","plan","combo",-0.00629552886386385,0.00238400245743088
"control","control","control","plan","combo",-0.00102060646827079,0.00227034084955039
"plan","plan","plan","cons","combo",0.00369636651840598,0.00253786596025371
"cons","plan","plan","cons","combo",0.00309513102270849,0.00260106115430992
"combo","plan","plan","cons","combo",0.00225023801713191,0.00264909606740565
"control","plan","plan","cons","combo",0.00752516041272493,0.002590399742086
"plan","cons","plan","cons","combo",0.0013179968107831,0.00264710704858601
"cons","cons","plan","cons","combo",0.000716761315085562,0.0026163510714988
"combo","cons","plan","cons","combo",-0.000128131690490986,0.00270727985519636
"control","cons","plan","cons","combo",0.00514679070510203,0.00264987265048854
"plan","combo","plan","cons","combo",0.00128317866872613,0.00280169498743486
"cons","combo","plan","cons","combo",0.000681943173028621,0.00281415927843679
"combo","combo","plan","cons","combo",-0.000162949832547911,0.00278290590772455
"control","combo","plan","cons","combo",0.00511197256304506,0.00280430813922989
"plan","control","plan","cons","combo",0.000402609045288115,0.0026443801783572
"cons","control","plan","cons","combo",-0.000198626450409391,0.00265758239185217
"combo","control","plan","cons","combo",-0.00104351945598597,0.00270461365362351
"control","control","plan","cons","combo",0.00423140293960707,0.00262837934484476
"plan","plan","cons","cons","combo",0.00102811166185015,0.00262233394719841
"cons","plan","cons","cons","combo",0.000426876166152628,0.002570744421061
"combo","plan","cons","cons","combo",-0.000418016839423948,0.00267282711364904
"control","plan","cons","cons","combo",0.00485690555616907,0.00261466357853407
"plan","cons","cons","cons","combo",-0.00135025804577279,0.00225354116091141
"cons","cons","cons","cons","combo",-0.00195149354147028,0.00207939919643213
"combo","cons","cons","cons","combo",-0.00279638654704687,0.00225633759847653
"control","cons","cons","cons","combo",0.00247853584854615,0.00218712601551762
"plan","combo","cons","cons","combo",-0.00138507618782972,0.0026556402140418
"cons","combo","cons","cons","combo",-0.00198631168352723,0.00255533924162169
"combo","combo","cons","cons","combo",-0.00283120468910376,0.00257641583246284
"control","combo","cons","cons","combo",0.00244371770648922,0.00259951868434678
"plan","control","cons","cons","combo",-0.00226564581126773,0.00248911162295041
"cons","control","cons","cons","combo",-0.00286688130696524,0.00238180821327885
"combo","control","cons","cons","combo",-0.00371177431254181,0.00249164368758531
"control","control","cons","cons","combo",0.00156314808305122,0.00240867831619824
"plan","plan","combo","cons","combo",0.00504059544427423,0.00278927291343448
"cons","plan","combo","cons","combo",0.00443935994857671,0.00279199247645181
"combo","plan","combo","cons","combo",0.00359446694300018,0.00273610024693375
"control","plan","combo","cons","combo",0.00886938933859316,0.00278206284686429
"plan","cons","combo","cons","combo",0.00266222573665133,0.00266711715630981
"cons","cons","combo","cons","combo",0.0020609902409538,0.00257721831338363
"combo","cons","combo","cons","combo",0.00121609723537729,0.00256221725204606
"control","cons","combo","cons","combo",0.00649101963097027,0.00261124230383054
"plan","combo","combo","cons","combo",0.0026274075945944,0.00234273472798261
"cons","combo","combo","cons","combo",0.00202617209889689,0.00229103180994692
"combo","combo","combo","cons","combo",0.00118127909332038,0.00212431902685269
"control","combo","combo","cons","combo",0.00645620148891334,0.00227892045704272
"plan","control","combo","cons","combo",0.00174683797115635,0.00266441076534698
"cons","control","combo","cons","combo",0.00114560247545885,0.00261906576377719
"combo","control","combo","cons","combo",0.000300709469882314,0.00255939993898906
"control","control","combo","cons","combo",0.00557563186547531,0.00258942837049293
"plan","plan","control","cons","combo",0.000939742379522589,0.00263373603659474
"cons","plan","control","cons","combo",0.000338506883825069,0.0026366160345037
"combo","plan","control","cons","combo",-0.000506386121751506,0.00268401470921566
"control","plan","control","cons","combo",0.00476853627384155,0.00260267798619077
"plan","cons","control","cons","combo",-0.00143862732810031,0.00250400400365508
"cons","cons","control","cons","combo",-0.00203986282379784,0.002408023330385
"combo","cons","control","cons","combo",-0.00288475582937439,0.00250652102418823
"control","cons","control","cons","combo",0.00239016656621866,0.00241922412876807
"plan","combo","control","cons","combo",-0.00147344547015728,0.00266689990930754
"cons","combo","control","cons","combo",-0.00207468096585478,0.00262159796207532
"combo","combo","control","cons","combo",-0.00291957397143132,0.00258802023206809
"control","combo","control","cons","combo",0.0023553484241617,0.00258746293908869
"plan","control","control","cons","combo",-0.00235401509359532,0.00240081435595497
"cons","control","control","cons","combo",-0.00295525058929282,0.00235038939757914
"combo","control","control","cons","combo",-0.0038001435948694,0.00240343944507375
"control","control","control","cons","combo",0.00147477880072366,0.00229074246091462
"plan","plan","plan","combo","combo",0.0025150874250856,0.0025272301162012
"cons","plan","plan","combo","combo",0.00191385192938809,0.00263300263314995
"combo","plan","plan","combo","combo",0.00106895892381156,0.00256234320398265
"control","plan","plan","combo","combo",0.00634388131940455,0.00257998047508486
"plan","cons","plan","combo","combo",0.000136717717462726,0.00280108712256378
"cons","cons","plan","combo","combo",-0.000464517778234793,0.00281162970188935
"combo","cons","plan","combo","combo",-0.00130941078381133,0.00278747947947658
"control","cons","plan","combo","combo",0.00396551161178166,0.00280370084091117
"plan","combo","plan","combo","combo",0.000101899575405752,0.00245769304900779
"cons","combo","plan","combo","combo",-0.000499335920291768,0.00251620906814797
"combo","combo","plan","combo","combo",-0.00134422892586831,0.00235310218741216
"control","combo","plan","combo","combo",0.00393069346972469,0.00246067154660564
"plan","control","plan","combo","combo",-0.000778670048032268,0.00263417443532283
"cons","control","plan","combo","combo",-0.00137990554372979,0.00268885252611541
"combo","control","plan","combo","combo",-0.00222479854930632,0.00261969993243859
"control","control","plan","combo","combo",0.00305012384628669,0.002618111229193
"plan","plan","cons","combo","combo",-0.00015316743147025,0.00281292713984198
"cons","plan","cons","combo","combo",-0.000754402927167755,0.00280458659191355
"combo","plan","cons","combo","combo",-0.00159929593274432,0.00278956857515996
"control","plan","cons","combo","combo",0.00367562646284867,0.00280577785869497
"plan","cons","cons","combo","combo",-0.00253153713909315,0.0026471034057723
"cons","cons","cons","combo","combo",-0.00313277263479065,0.00254433979742222
"combo","cons","cons","combo","combo",-0.0039776656403672,0.00257323382689183
"control","cons","cons","combo","combo",0.00129725675522579,0.00259079695937049
"plan","combo","cons","combo","combo",-0.00256635528115011,0.00251654139691165
"cons","combo","cons","combo","combo",-0.0031675907768476,0.00245588468894621
"combo","combo","cons","combo","combo",-0.00401248378242417,0.00234951877845898
"control","combo","cons","combo","combo",0.00126243861316883,0.00245724501143091
"plan","control","cons","combo","combo",-0.00344692490458813,0.0026891635195609
"cons","control","cons","combo","combo",-0.00404816040028562,0.00263248731012469
"combo","control","cons","combo","combo",-0.00489305340586218,0.00261648166856683
"control","control","cons","combo","combo",0.000381868989730825,0.00261489101003349
"plan","plan","combo","combo","combo",0.00385931635095386,0.00232836775434844
"cons","plan","combo","combo","combo",0.00325808085525633,0.00237855635042109
"combo","plan","combo","combo","combo",0.00241318784967981,0.00217468661369251
"control","plan","combo","combo","combo",0.00768811024527279,0.00231972556518503
"plan","cons","combo","combo","combo",0.00148094664333098,0.00237645783738141
"cons","cons","combo","combo","combo",0.000879711147633459,0.00232317616032533
"combo","cons","combo","combo","combo",3.481814205694e-05,0.00216812348972193
"control","cons","combo","combo","combo",0.00530974053764992,0.0023135739228915
"plan","combo","combo","combo","combo",0.00144612850127401,0.00117230154485516
"cons","combo","combo","combo","combo",0.000844893005576492,0.00116437406801137
"combo","combo","combo","combo","combo",0,1.95070975434139e-05
"control","combo","combo","combo","combo",0.00527492239559295,0.00103892413385283
"plan","control","combo","combo","combo",0.000565558877835985,0.00217723166897031
"cons","control","combo","combo","combo",-3.56766178615348e-05,0.00217297349237278
"combo","control","combo","combo","combo",-0.000880569623438054,0.00194770258360965
"control","control","combo","combo","combo",0.00439435277215494,0.00208480030213544
"plan","plan","control","combo","combo",-0.000241536713797794,0.00262348888666936
"cons","plan","control","combo","combo",-0.000842772209495327,0.00266813190287072
"combo","plan","control","combo","combo",-0.00168766521507186,0.00259842792471487
"control","plan","control","combo","combo",0.00358725718052117,0.00259230806962095
"plan","cons","control","combo","combo",-0.00261990642142068,0.0026662613134949
"cons","cons","control","combo","combo",-0.0032211419171182,0.0026188823973008
"combo","cons","control","combo","combo",-0.00406603492269473,0.00259293757712148
"control","cons","control","combo","combo",0.0012088874728983,0.00258680473301185
"plan","combo","control","combo","combo",-0.00265472456347765,0.00230284941904331
"cons","combo","control","combo","combo",-0.00325596005917517,0.00229882393953423
"combo","combo","control","combo","combo",-0.00410085306475171,0.00211905010199133
"control","combo","control","combo","combo",0.00117406933084132,0.00221036756709853
"plan","control","control","combo","combo",-0.0035352941869157,0.00238956858026284
"cons","control","control","combo","combo",-0.00413652968261322,0.00238568943032552
"combo","control","control","combo","combo",-0.00498142268818975,0.00230746915186063
"control","control","control","combo","combo",0.000293499707403274,0.00227895358668338
"plan","plan","plan","control","combo",-0.0082543632064501,0.00235238637319189
"cons","plan","plan","control","combo",-0.00885559870214761,0.00246567079203999
"combo","plan","plan","control","combo",-0.00970049170772417,0.00247197653526656
"control","plan","plan","control","combo",-0.00442556931213114,0.00239033088022767
"plan","cons","plan","control","combo",-0.010632732914073,0.00264441272435623
"cons","cons","plan","control","combo",-0.0112339684097705,0.00265557737019484
"combo","cons","plan","control","combo",-0.0120788614153471,0.00270464547481096
"control","cons","plan","control","combo",-0.00680393901975403,0.00263023209441238
"plan","combo","plan","control","combo",-0.01066755105613,0.00263485347205153
"cons","combo","plan","control","combo",-0.0112687865518275,0.00268951775801367
"combo","combo","plan","control","combo",-0.012113679557404,0.00261486582979177
"control","combo","plan","control","combo",-0.00683875716181101,0.00262062111586581
"plan","control","plan","control","combo",-0.011548120679568,0.00239244408130637
"cons","control","plan","control","combo",-0.0121493561752655,0.0024525174074136
"combo","control","plan","control","combo",-0.0129942491808421,0.00245885688275185
"control","control","plan","control","combo",-0.00771932678524903,0.00235583806988136
"plan","plan","cons","control","combo",-0.0109226180630059,0.00265695101245847
"cons","plan","cons","control","combo",-0.0115238535587035,0.00264811924582066
"combo","plan","cons","control","combo",-0.01236874656428,0.00270679850218526
"control","plan","cons","control","combo",-0.00709382416868702,0.00263244598377514
"plan","cons","cons","control","combo",-0.0133009877706288,0.00248072288444232
"cons","cons","cons","control","combo",-0.0139022232663263,0.00237075823172484
"combo","cons","cons","control","combo",-0.0147471162719029,0.00248326350268608
"control","cons","cons","control","combo",-0.0094721938763099,0.00240200152994003
"plan","combo","cons","control","combo",-0.0133358059126858,0.00268982867454618
"cons","combo","cons","control","combo",-0.0139370414083833,0.00263316678192652
"combo","combo","cons","control","combo",-0.0147819344139599,0.00261164160897702
"control","combo","cons","control","combo",-0.00950701201836687,0.00261740398464763
"plan","control","cons","control","combo",-0.0142163755361239,0.00245285836554146
"cons","control","cons","control","combo",-0.0148176110318214,0.00239058636414522
"combo","control","cons","control","combo",-0.0156625040373979,0.00245542781522562
"control","control","cons","control","combo",-0.0103875816418049,0.00235225882874948
"plan","plan","combo","control","combo",-0.00691013428058185,0.00262164097507337
"cons","plan","combo","control","combo",-0.00751136977627938,0.00266631493166552
"combo","plan","combo","control","combo",-0.0083562627818559,0.00256499562920394
"control","plan","combo","control","combo",-0.00308134038626292,0.0025968027605256
"plan","cons","combo","control","combo",-0.00928850398820474,0.0026644430666737
"cons","cons","combo","control","combo",-0.00988973948390226,0.0026170312330192
"combo","cons","combo","control","combo",-0.0107346324894788,0.00255943356560507
"control","cons","combo","control","combo",-0.00545971009388579,0.00259130896961053
"plan","combo","combo","control","combo",-0.00932332213026168,0.00214041211505171
"cons","combo","combo","control","combo",-0.0099245576259592,0.00213608054165747
"combo","combo","combo","control","combo",-0.0107694506315357,0.00189886527811027
"control","combo","combo","control","combo",-0.00549452823594274,0.00204865549634353
"plan","control","combo","control","combo",-0.0102038917536998,0.00241456556775464
"cons","control","combo","control","combo",-0.0108051272493973,0.00241072664132079
"combo","control","combo","control","combo",-0.0116500202549738,0.00229816670461188
"control","control","combo","control","combo",-0.00637509785938079,0.00231230065454504
"plan","plan","control","control","combo",-0.0110109873453335,0.00236262841632774
"cons","plan","control","control","combo",-0.011612222841031,0.00241210425692551
"combo","plan","control","control","combo",-0.0124571158466076,0.00241854966508186
"control","plan","control","control","combo",-0.00718219345101454,0.00230866478718543
"plan","cons","control","control","combo",-0.0133893570529564,0.00241003495555588
"cons","cons","control","control","combo",-0.0139905925486539,0.00235751227060511
"combo","cons","control","control","combo",-0.0148354855542305,0.00241265001220197
"control","cons","control","control","combo",-0.00956056315863741,0.00230248359353558
"plan","combo","control","control","combo",-0.0134241751950134,0.00239954217496715
"cons","combo","control","control","combo",-0.0140254106907109,0.00239567917460449
"combo","combo","control","control","combo",-0.0148703036962874,0.00231155710393997
"control","combo","control","control","combo",-0.00959538130069439,0.00229149838772481
"plan","control","control","control","combo",-0.0143047448184514,0.00201182534849973
"cons","control","control","control","combo",-0.0149059803141489,0.00200721630400253
"combo","control","control","control","combo",-0.0157508733197255,0.00201495727677858
"control","control","control","control","combo",-0.0104759509241324,0.00185515108817316
"plan","plan","plan","plan","control",0.0116769321735439,0.00139120992072835
"cons","plan","plan","plan","control",0.0110756966778464,0.00164278550620765
"combo","plan","plan","plan","control",0.0102308036722699,0.00176179759262442
"control","plan","plan","plan","control",0.0155057260678629,0.00152834349272395
"plan","cons","plan","plan","control",0.00929856246592109,0.00206521770426319
"cons","cons","plan","plan","control",0.00869732697022354,0.00213114172412082
"combo","cons","plan","plan","control",0.00785243396464702,0.00227570473159306
"control","cons","plan","plan","control",0.01312735636024,0.0021001750164616
"plan","combo","plan","plan","control",0.00926374432386412,0.00241932507183719
"cons","combo","plan","plan","control",0.00866250882816657,0.00252223217104248
"combo","combo","plan","plan","control",0.00781761582259005,0.00251788078819575
"control","combo","plan","plan","control",0.0130925382181831,0.00244923349989081
"plan","control","plan","plan","control",0.00838317470042607,0.00173563272783297
"cons","control","plan","plan","control",0.00778193920472852,0.00187641740754731
"combo","control","plan","plan","control",0.00693704619915201,0.00198144614494511
"control","control","plan","plan","control",0.012211968594745,0.00174900372077277
"plan","plan","cons","plan","control",0.00900867731698808,0.00212550745333748
"cons","plan","cons","plan","control",0.00840744182129056,0.00216527069014653
"combo","plan","cons","plan","control",0.00756254881571402,0.00231876492011072
"control","plan","cons","plan","control",0.012837471211307,0.00214675891266591
"plan","cons","cons","plan","control",0.0066303076093652,0.00211727215905178
"cons","cons","cons","plan","control",0.00602907211366771,0.00204127860159357
"combo","cons","cons","plan","control",0.00518417910809117,0.00225543174616022
"control","cons","cons","plan","control",0.0104591015036842,0.00207819042341211
"plan","combo","cons","plan","control",0.00659548946730824,0.00268374908277281
"cons","combo","cons","plan","control",0.00599425397161077,0.00266802670755879
"combo","combo","cons","plan","control",0.00514936096603422,0.00271652758247137
"control","combo","cons","plan","control",0.0104242833616272,0.00265302528818515
"plan","control","cons","plan","control",0.0057149198438702,0.0020884913938029
"cons","control","cons","plan","control",0.00511368434817272,0.00206824893930878
"combo","control","cons","plan","control",0.00426879134259617,0.00222843605878211
"control","control","cons","plan","control",0.0095437137381892,0.00202455240930915
"plan","plan","combo","plan","control",0.0130211610994122,0.0025474535107039
"cons","plan","combo","plan","control",0.0124199256037146,0.00263499936845708
"combo","plan","combo","plan","control",0.0115750325981382,0.00260523318276194
"control","plan","combo","plan","control",0.0168499549937311,0.00256521174254971
"plan","cons","combo","plan","control",0.0106427913917893,0.00275431242909558
"cons","cons","combo","plan","control",0.0100415558960918,0.00274832693580214
"combo","cons","combo","plan","control",0.00919666289051533,0.00276210058650755
"control","cons","combo","plan","control",0.0144715852861083,0.00272438451719584
"plan","combo","combo","plan","control",0.0106079732497324,0.00258975280645818
"cons","combo","combo","plan","control",0.0100067377540349,0.00262788204200232
"combo","combo","combo","plan","control",0.00916184474845833,0.00251449086147182
"control","combo","combo","plan","control",0.0144367671440513,0.00255790024024081
"plan","control","combo","plan","control",0.00972740362629431,0.00251665129825194
"cons","control","combo","plan","control",0.0091261681305968,0.0025558713162273
"combo","control","combo","plan","control",0.00828127512502031,0.00252517255844193
"control","control","combo","plan","control",0.0135561975206133,0.00246384859783306
"plan","plan","control","plan","control",0.00892030803466053,0.00174956418014868
"cons","plan","control","plan","control",0.00831907253896298,0.00187474721043424
"combo","plan","control","plan","control",0.00747417953338647,0.00197986455117571
"control","plan","control","plan","control",0.0127491019289795,0.00174048947323376
"plan","cons","control","plan","control",0.00654193832703766,0.00203904202711276
"cons","cons","control","plan","control",0.00594070283134015,0.00203094962451492
"combo","cons","control","plan","control",0.00509580982576364,0.00218216024948299
"control","cons","control","plan","control",0.0103707322213567,0.001967552621878
"plan","combo","control","plan","control",0.00650712018498069,0.0023970194045001
"cons","combo","control","plan","control",0.00590588468928319,0.00243816456656853
"combo","combo","control","plan","control",0.00506099168370667,0.00243366287570688
