"StatenIsland","Bronx","Brooklyn","Manhattan","Queens","pape_metric","pape_metric_sd"
"combo","cons","plan","cons","plan",-0.0013291129399025,0.00228350970138717
"control","cons","plan","cons","plan",0.00394580945569047,0.00212904354206357
"plan","combo","plan","cons","plan",8.21974193145829e-05,0.00260643954543371
"cons","combo","plan","cons","plan",-0.000519038076382923,0.00265875332804312
"combo","combo","plan","cons","plan",-0.00136393108195946,0.00269594011580349
"control","combo","plan","cons","plan",0.00391099131363352,0.00264832417855509
"plan","control","plan","cons","plan",-0.000798372204123444,0.00207323499736486
"cons","control","plan","cons","plan",-0.00139960769982095,0.00213863169098332
"combo","control","plan","cons","plan",-0.00224450070539748,0.0022803480781109
"control","control","plan","cons","plan",0.00303042169019551,0.00210223198543882
"plan","plan","cons","cons","plan",-0.000172869587561384,0.00208653670493222
"cons","plan","cons","cons","plan",-0.000774105083258917,0.00207151429693399
"combo","plan","cons","cons","plan",-0.00161899808883545,0.00228046056427753
"control","plan","cons","cons","plan",0.00365592430675753,0.00212577285543358
"plan","cons","cons","cons","plan",-0.00255123929518432,0.00183484603512026
"cons","cons","cons","cons","plan",-0.00315247479088182,0.00167855823264569
"combo","cons","cons","cons","plan",-0.00399736779645837,0.00198966506787971
"control","cons","cons","cons","plan",0.00127755459913461,0.0018102974700347
"plan","combo","cons","cons","plan",-0.00258605743724124,0.00264180102011556
"cons","combo","cons","cons","plan",-0.00318729293293876,0.00258106389630416
"combo","combo","cons","cons","plan",-0.00403218593851529,0.00267284525189547
"control","combo","cons","cons","plan",0.00124273645707769,0.00262481039073323
"plan","control","cons","cons","plan",-0.00346662706067926,0.00211751951116901
"cons","control","cons","cons","plan",-0.00406786255637678,0.00204124155530467
"combo","control","cons","cons","plan",-0.00491275556195332,0.00225299711272022
"control","control","cons","cons","plan",0.000362166833639676,0.00207253177374526
"plan","plan","combo","cons","plan",0.00383961419486272,0.00272308064725309
"cons","plan","combo","cons","plan",0.00323837869916518,0.00276329356529016
"combo","plan","combo","cons","plan",0.00239348569358868,0.00277504322533241
"control","plan","combo","cons","plan",0.00766840808918163,0.00275326043506842
"plan","cons","combo","cons","plan",0.00146124448723982,0.00274951829773537
"cons","cons","combo","cons","plan",0.000860008991542269,0.00270071022002082
"combo","cons","combo","cons","plan",1.5115985965792e-05,0.00275513878164953
"control","cons","combo","cons","plan",0.00529003838155874,0.00273319736334556
"plan","combo","combo","cons","plan",0.00142642634518286,0.00275194811443971
"cons","combo","combo","cons","plan",0.000825190849485343,0.00274573918765906
"combo","combo","combo","cons","plan",-1.97021560911897e-05,0.00267899967564168
"control","combo","combo","cons","plan",0.00525522023950179,0.00273564167646016
"plan","control","combo","cons","plan",0.000545856721744837,0.00274689309413314
"cons","control","combo","cons","plan",-5.53787739526834e-05,0.00274067271535196
"combo","control","combo","cons","plan",-0.000900271779529188,0.00275251893856591
"control","control","combo","cons","plan",0.00437465061606378,0.00271236441939474
"plan","plan","control","cons","plan",-0.000261238869888942,0.00210084878105445
"cons","plan","control","cons","plan",-0.000862474365586476,0.00215271659012227
"combo","plan","control","cons","plan",-0.00170736737116301,0.00229356285395747
